episode_id,underlying,denomination,sizing,exit_mode,entry_ts,exit_ts,long_symbol,short_symbol,T1,T2,qty_long,qty_short,entry_long_price,entry_short_price,exit_long_price,exit_short_price,entry_cash,exit_cash,violation_size,gross_pnl,costs,net_pnl,holding_seconds,settled_at_expiry,resolved,note
59503b7e9ac81749,SPX,K2,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261218C07275000,SPX261120C07260000,2026-11-20,2026-12-18,1.000000,1.000000,562.0100,539.3400,555.0700,542.3700,-22.670000,12.700000,11639.720000,-997.00,0.00,-997.00,304,0,1,
d675ad283134eebc,SPX,T1,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261120C07160000,SPX261120C07285000,2026-11-20,2026-12-18,1.000000,1.000000,608.3000,518.0800,619.8100,522.6790,-90.220000,97.131000,11166.532000,691.10,0.00,691.10,304,0,1,
d675ad283134eebc,SPX,K2,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261218C07300000,SPX261120C07285000,2026-11-20,2026-12-18,1.000000,1.000000,539.8800,518.0800,551.7100,522.6790,-21.800000,29.031000,11166.532000,723.10,0.00,723.10,304,0,1,
9bfa56c428011077,SPX,T1,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261016C07540000,SPX261016C07565000,2026-10-16,2026-11-20,1.000000,1.000000,231.9800,218.3500,234.3200,219.1900,-13.630000,15.130000,1597.964700,150.00,0.00,150.00,304,0,1,
9bfa56c428011077,SPX,K2,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261120C07590000,SPX261016C07565000,2026-10-16,2026-11-20,1.000000,1.000000,269.9600,218.3500,278.7500,219.1900,-51.610000,59.560000,1597.964700,795.00,0.00,795.00,304,0,1,
66ec6e1e34120eb4,SPX,T1,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261016C06510000,SPX261016C06725000,2026-10-16,2026-12-18,1.000000,1.000000,1165.1600,993.4200,1196.3000,979.5000,-171.740000,216.800000,26091.877800,4506.00,0.00,4506.00,304,0,1,
66ec6e1e34120eb4,SPX,K2,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261218C06760000,SPX261016C06725000,2026-10-16,2026-12-18,1.000000,1.000000,1025.6700,993.4200,1027.6300,979.5000,-32.250000,48.130000,26091.877800,1588.00,0.00,1588.00,304,0,1,
b92398cd07f4639a,SPX,T1,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261120C07160000,SPX261120C07215000,2026-11-20,2026-12-18,1.000000,1.000000,608.3000,578.2000,619.8100,579.9300,-30.100000,39.880000,7972.937000,978.00,0.00,978.00,304,0,1,
b92398cd07f4639a,SPX,K2,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261218C07230000,SPX261120C07215000,2026-11-20,2026-12-18,1.000000,1.000000,609.9100,578.2000,603.1100,579.9300,-31.710000,23.180000,7972.937000,-853.00,0.00,-853.00,304,0,1,
40c962d8f113fa0a,SPX,T1,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261016C06670000,SPX261016C06740000,2026-10-16,2026-12-18,1.000000,1.000000,1015.3700,979.1500,1050.5900,959.1200,-36.220000,91.470000,21976.670000,5525.00,0.00,5525.00,304,0,1,
40c962d8f113fa0a,SPX,K2,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261218C06775000,SPX261016C06740000,2026-10-16,2026-12-18,1.000000,1.000000,1023.9000,979.1500,1022.7900,959.1200,-44.750000,63.670000,21976.670000,1892.00,0.00,1892.00,304,0,1,
9fbb98e9b2304f45,SPX,T1,capped,reversion,2026-09-01T11:51:44,2026-09-01T11:56:48,SPX261120C07090000,SPX261120C07205000,2026-11-20,2026-12-18,1.000000,1.000000,679.3900,591.4200,673.8700,579.1800,-87.970000,94.690000,11402.298400,672.00,0.00,672.00,304,0,1,
9fbb98e9b2304f45,SPX,K2,capped,reversion,2026-09-01T11:51:44,2026-09-01T11:56:48,SPX261218C07220000,SPX261120C07205000,2026-11-20,2026-12-18,1.000000,1.000000,607.7600,591.4200,604.1600,579.1800,-16.340000,24.980000,11402.298400,864.00,0.00,864.00,304,0,1,
a778d5d8b0376c76,SPX,T1,capped,reversion,2026-09-01T11:51:44,2026-09-01T11:56:48,SPX261120C07530000,SPX261120C07570000,2026-11-20,2026-12-18,1.000000,1.000000,312.7000,292.8700,313.3400,288.1500,-19.830000,25.190000,2684.099500,536.00,0.00,536.00,304,0,1,
a778d5d8b0376c76,SPX,K2,capped,reversion,2026-09-01T11:51:44,2026-09-01T11:56:48,SPX261218C07585000,SPX261120C07570000,2026-11-20,2026-12-18,1.000000,1.000000,324.7000,292.8700,329.5000,288.1500,-31.830000,41.350000,2684.099500,952.00,0.00,952.00,304,0,1,
2aeb1f20ebc117b3,SPX,T1,capped,reversion,2026-09-01T11:51:44,2026-09-01T11:56:48,SPX261016C06625000,SPX261016C06670000,2026-10-16,2026-11-20,1.000000,1.000000,1059.9100,1050.5900,1086.9600,1037.1800,-9.320000,49.780000,27267.004500,4046.00,0.00,4046.00,304,0,1,
2aeb1f20ebc117b3,SPX,K2,capped,reversion,2026-09-01T11:51:44,2026-09-01T11:56:48,SPX261120C06690000,SPX261016C06670000,2026-10-16,2026-11-20,1.000000,1.000000,1050.1400,1050.5900,1039.8290,1037.1800,0.450000,2.649000,27267.004500,309.90,0.00,309.90,304,0,1,
998e198614144e42,SPX,T1,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261120C07415000,SPX261120C07455000,2026-11-20,2026-12-18,1.000000,1.000000,395.7200,377.3200,403.5100,376.9000,-18.400000,26.610000,5314.088000,821.00,0.00,821.00,304,0,1,
998e198614144e42,SPX,K2,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261218C07475000,SPX261120C07455000,2026-11-20,2026-12-18,1.000000,1.000000,400.2100,377.3200,411.1600,376.9000,-22.890000,34.260000,5314.088000,1137.00,0.00,1137.00,304,0,1,
cc16c78fa0cd97bc,SPX,T1,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261120C07510000,SPX261120C07555000,2026-11-20,2026-12-18,1.000000,1.000000,323.8300,299.4600,326.8800,299.0000,-24.370000,27.880000,3132.181700,351.00,0.00,351.00,304,0,1,
cc16c78fa0cd97bc,SPX,K2,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261218C07575000,SPX261120C07555000,2026-11-20,2026-12-18,1.000000,1.000000,330.3100,299.4600,329.4000,299.0000,-30.850000,30.400000,3132.181700,-45.00,0.00,-45.00,304,0,1,
c226f21818ab6209,SPX,T1,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261120C07320000,SPX261120C07395000,2026-11-20,2026-12-18,1.000000,1.000000,475.8800,423.1100,474.2000,422.3700,-52.770000,51.830000,4838.954190,-94.00,0.00,-94.00,304,0,1,
c226f21818ab6209,SPX,K2,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261218C07415000,SPX261120C07395000,2026-11-20,2026-12-18,1.000000,1.000000,450.3100,423.1100,458.2700,422.3700,-27.200000,35.900000,4838.954190,870.00,0.00,870.00,304,0,1,
d72d93b3c06a81fa,SPX,T1,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261120C07510000,SPX261120C07585000,2026-11-20,2026-12-18,1.000000,1.000000,323.8300,278.8000,326.8800,280.4700,-45.030000,46.410000,2207.430700,138.00,0.00,138.00,304,0,1,
d72d93b3c06a81fa,SPX,K2,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261218C07605000,SPX261120C07585000,2026-11-20,2026-12-18,1.000000,1.000000,309.7100,278.8000,307.4200,280.4700,-30.910000,26.950000,2207.430700,-396.00,0.00,-396.00,304,0,1,
6097cb0f14939878,SPX,T1,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261016C06830000,SPX261016C06840000,2026-10-16,2026-12-18,1.000000,1.000000,860.4200,877.2200,871.3800,878.0800,16.800000,-6.700000,16648.610800,1010.00,0.00,1010.00,304,0,1,
6097cb0f14939878,SPX,K2,capped,reversion,2026-09-01T12:06:57,2026-09-01T12:12:01,SPX261218C06880000,SPX261016C06840000,2026-10-16,2026-12-18,1.000000,1.000000,921.0200,877.2200,888.7700,878.0800,-43.800000,10.690000,16648.610800,-3311.00,0.00,-3311.00,304,0,1,
