episode_id,underlying,denomination,sizing,exit_mode,entry_ts,exit_ts,long_symbol,short_symbol,T1,T2,qty_long,qty_short,entry_long_price,entry_short_price,exit_long_price,exit_short_price,entry_cash,exit_cash,violation_size,gross_pnl,costs,net_pnl,holding_seconds,settled_at_expiry,resolved,note
0828b8f84ad92418,SPX,T1,capped,reversion,2026-08-31T13:48:09,,SPX261120C07345000,SPX261120C07410000,2026-11-20,2026-12-18,1.000000,1.000000,472.4200,433.1900,0.0000,0.0000,-39.230000,0.000000,7394.977800,-3923.00,0.00,-3923.00,0,0,0,no exit observation available; episode still open
0828b8f84ad92418,SPX,K2,capped,reversion,2026-08-31T13:48:09,,SPX261218C07430000,SPX261120C07410000,2026-11-20,2026-12-18,1.000000,1.000000,454.2700,433.1900,0.0000,0.0000,-21.080000,0.000000,7394.977800,-2108.00,0.00,-2108.00,0,0,0,no exit observation available; episode still open
2aef69d0d4ec34f3,SPX,T1,capped,reversion,2026-08-31T13:48:09,,SPX261016C06330000,SPX261016C06490000,2026-10-16,2026-12-18,1.000000,1.000000,1358.2000,1247.3700,0.0000,0.0000,-110.830000,0.000000,37750.712400,-11083.00,0.00,-11083.00,0,0,0,no exit observation available; episode still open
2aef69d0d4ec34f3,SPX,K2,capped,reversion,2026-08-31T13:48:09,,SPX261218C06520000,SPX261016C06490000,2026-10-16,2026-12-18,1.000000,1.000000,1253.8500,1247.3700,0.0000,0.0000,-6.480000,0.000000,37750.712400,-648.00,0.00,-648.00,0,0,0,no exit observation available; episode still open
e103ee0faff31ed4,SPX,T1,capped,reversion,2026-08-31T13:48:09,,SPX261120C07320000,SPX261120C07405000,2026-11-20,2026-12-18,1.000000,1.000000,496.1700,430.9300,0.0000,0.0000,-65.240000,0.000000,4834.959100,-6524.00,0.00,-6524.00,0,0,0,no exit observation available; episode still open
e103ee0faff31ed4,SPX,K2,capped,reversion,2026-08-31T13:48:09,,SPX261218C07425000,SPX261120C07405000,2026-11-20,2026-12-18,1.000000,1.000000,456.8900,430.9300,0.0000,0.0000,-25.960000,0.000000,4834.959100,-2596.00,0.00,-2596.00,0,0,0,no exit observation available; episode still open
8ad163ba282d5496,SPX,T1,capped,reversion,2026-08-31T13:48:59,,SPX261120C07390000,SPX261120C07490000,2026-11-20,2026-12-18,1.000000,1.000000,434.5800,367.2800,0.0000,0.0000,-67.300000,0.000000,5419.662000,-6730.00,0.00,-6730.00,0,0,0,no exit observation available; episode still open
8ad163ba282d5496,SPX,K2,capped,reversion,2026-08-31T13:48:59,,SPX261218C07505000,SPX261120C07490000,2026-11-20,2026-12-18,1.000000,1.000000,394.2600,367.2800,0.0000,0.0000,-26.980000,0.000000,5419.662000,-2698.00,0.00,-2698.00,0,0,0,no exit observation available; episode still open
06d14de241e93b1d,SPX,T1,capped,reversion,2026-08-31T13:48:59,,SPX261120C07205000,SPX261120C07305000,2026-11-20,2026-12-18,1.000000,1.000000,588.9500,518.9400,0.0000,0.0000,-70.010000,0.000000,7800.490600,-7001.00,0.00,-7001.00,0,0,0,no exit observation available; episode still open
06d14de241e93b1d,SPX,K2,capped,reversion,2026-08-31T13:48:59,,SPX261218C07320000,SPX261120C07305000,2026-11-20,2026-12-18,1.000000,1.000000,547.5400,518.9400,0.0000,0.0000,-28.600000,0.000000,7800.490600,-2860.00,0.00,-2860.00,0,0,0,no exit observation available; episode still open
54a0374153501bd1,SPX,T1,capped,reversion,2026-08-31T13:48:59,,SPX261120C07205000,SPX261120C07225000,2026-11-20,2026-12-18,1.000000,1.000000,588.9500,588.7500,0.0000,0.0000,-0.200000,0.000000,8418.376500,-20.00,0.00,-20.00,0,0,0,no exit observation available; episode still open
