episode_id,underlying,denomination,sizing,exit_mode,entry_ts,exit_ts,long_symbol,short_symbol,T1,T2,qty_long,qty_short,entry_long_price,entry_short_price,exit_long_price,exit_short_price,entry_cash,exit_cash,violation_size,gross_pnl,costs,net_pnl,holding_seconds,settled_at_expiry,resolved,note
80b8bfd5dbce6b57,SPY,T1,capped,reversion,2026-08-31T13:59:41,2026-09-01T11:56:41,SPY261002C00823000,SPY261002C00825000,2026-10-02,2026-10-09,1.000000,1.000000,0.1100,0.1300,0.1100,0.0700,0.020000,0.040000,0.005700,6.00,0.00,6.00,79020,0,1,
80b8bfd5dbce6b57,SPY,K2,capped,reversion,2026-08-31T13:59:41,2026-09-01T11:56:41,SPY261009C00825000,SPY261002C00825000,2026-10-02,2026-10-09,1.000000,1.000000,0.2200,0.1300,0.1400,0.0700,-0.090000,0.070000,0.005700,-2.00,0.00,-2.00,79020,0,1,
64fc423ddc735cd2,SPY,T1,capped,reversion,2026-09-01T11:27:16,2026-09-01T11:32:19,SPY261002C00815000,SPY261002C00818000,2026-10-02,2026-10-09,1.000000,1.000000,0.1400,0.1400,0.1700,0.1500,0.000000,0.020000,0.005600,2.00,0.00,2.00,303,0,1,
64fc423ddc735cd2,SPY,K2,capped,reversion,2026-09-01T11:27:16,2026-09-01T11:32:19,SPY261009C00818000,SPY261002C00818000,2026-10-02,2026-10-09,1.000000,1.000000,0.2600,0.1400,0.2600,0.1500,-0.120000,0.110000,0.005600,-1.00,0.00,-1.00,303,0,1,
786b64f3d2d86406,SPY,T1,capped,reversion,2026-09-01T11:51:39,2026-09-01T11:56:41,SPY261002C00812000,SPY261002C00814000,2026-10-02,2026-10-09,1.000000,1.000000,0.2000,0.2000,0.2300,0.2100,0.000000,0.020000,0.012000,2.00,0.00,2.00,302,0,1,
786b64f3d2d86406,SPY,K2,capped,reversion,2026-09-01T11:51:39,2026-09-01T11:56:41,SPY261009C00814000,SPY261002C00814000,2026-10-02,2026-10-09,1.000000,1.000000,0.3500,0.2000,0.3800,0.2100,-0.150000,0.170000,0.012000,2.00,0.00,2.00,302,0,1,
